trip_id,route_id,stop_id,arrival_delay,departure_delay,event_ts
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8138,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8090,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8144,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8003,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8070,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8172,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8069,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8127,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8001,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8160,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8107,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8072,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8129,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,8156,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,789,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,97,0,0,1970-01-01 01:00:00
6429219-15_R_99_1506_17:16-SETP2025-15-Semaine-11,15,512,0,0,1970-01-01 01:00:00
